PV_EN,AP_EN,total_area_ha,forest_2019_ha,forest_2023_ha,mean_agb_2019_Mg_ha,mean_agb_2023_Mg_ha,total_agb_2019_Mg,total_agb_2023_Mg,mean_co2_2019_Mg_ha,mean_co2_2023_Mg_ha,total_co2_2019_Mg,total_co2_2023_Mg
Chiang Mai,Mueang Chiang Mai,17568.871104056416,8526.101865412318,8661.01336710274,162.25731922812525,168.89149456619506,1074705.4389196602,1129042.1268217552,278.2538097036396,289.0903227308996,1843003.9601603209,1932573.0496071347
Chiang Mai,Chom Thong,111270.13270619552,70193.60380313089,84188.87933923991,151.09301808062764,154.098570756244,8096434.62006651,9937431.804589853,258.6954975749344,263.5444090043483,1.3862394305029668E7,1.6995318063235775E7
Chiang Mai,Mae Chaem,282227.5496957324,190444.4922607229,219464.68057506726,187.47186572807303,193.40118389450467,2.8175375949993014E7,3.5314816351934165E7,320.3215276743449,329.809884464161,4.814151232366549E7,6.022287011527704E7
Chiang Mai,Chiang Dao,207674.6718431312,143835.14333096216,156174.66197153128,171.56214976084237,174.73159376028624,1.8367010751871906E7,2.1370299877341993E7,292.05821829984177,296.2829724239019,3.1267014657695796E7,3.623646698841047E7
Chiang Mai,Doi Saket,65476.9434382095,54286.28884117506,52897.944599951974,155.63139397828945,162.79712273862307,6545528.524321163,6696166.352277959,265.0418290698719,275.4169242854778,1.1147099949843343E7,1.1328439159809783E7
Chiang Mai,Mae Taeng,142008.15489191347,114530.06362280056,123074.52692544399,171.5121164335835,174.2307695779814,1.4723129764615918E7,1.6898993945924122E7,292.36212267362026,295.09661152038586,2.5097265781710647E7,2.8622011955278885E7
Chiang Mai,Mae Rim,46035.382285971595,31040.187000605245,34027.23322151404,150.54309815974526,153.93295868426824,3379036.4341503223,3817398.66573761,257.21474853103564,261.69705745217635,5773349.99454283,6489851.175170692
Chiang Mai,Samoeng,105968.50968037345,89528.02363655483,93909.79607905589,181.79999063373967,186.20963628902962,1.2642900988664052E7,1.4374256635172028E7,309.83907991352714,315.30148551593845,2.154711100642042E7,2.433936294690643E7
Chiang Mai,Fang,84202.49701264432,41109.793921267315,44455.61760296207,187.81984988834694,190.4041477866537,5741111.588676259,6430420.792785403,321.4350708474793,325.5135700655815,9825344.417627005,1.0993402349627722E7
Chiang Mai,Mae Ai,76080.07333184085,41899.47245020064,45591.86572979862,187.6228584607566,189.0279197995702,5727899.590504741,6616184.296786495,318.726290148096,319.75084414479267,9730329.942064952,1.119163195605946E7
Chiang Mai,Phrao,128479.24581628355,98159.00977929472,101028.93998639395,180.41421990405527,180.24142973093626,1.3904511832132969E7,1.4591127379183989E7,306.7631189563508,303.99873552667987,2.3642212200661663E7,2.4609680521539237E7
Chiang Mai,San Pa Tong,17774.14622610169,4454.697422310034,6700.129752866433,56.658621094290105,75.17034583923964,168596.2210513831,327265.3423237179,96.68239084081411,127.59770368235024,287692.95236499637,555515.6905504175
Chiang Mai,San Kamphaeng,24494.123066243767,15262.071389673267,13782.832762445862,96.39791434171008,97.7786507968738,1009502.7871723275,911489.6037384386,163.5202651281843,164.96033620576407,1712424.6903084763,1537755.2008055004
Chiang Mai,San Sai,34366.06371593827,21879.192948906028,20283.46824931518,102.87837639022528,109.94103353373593,1676965.3317865168,1608033.1183234851,174.273772584868,186.9792322333977,2840743.4587875875,2734818.7311679567
Chiang Mai,Hang Dong,27238.840097813987,15251.973360646904,17525.15908807978,132.0679336357279,144.5135735785167,1432603.1265743875,1831528.7028009822,223.86783661419938,242.51006835975437,2428399.9732041466,3073511.6869403073
Chiang Mai,Hot,150093.0703598227,91878.52069181169,105358.41428298033,123.53921013379181,132.82054644544849,8318469.960343986,1.0401512005946808E7,210.4904292049988,225.73755382556416,1.4173299146853091E7,1.7678077736861873E7
Chiang Mai,Doi Tao,85422.43482834326,47651.69860109413,53461.81185068897,100.38115218530145,111.12277978649541,3556921.593155545,4281350.422547464,170.51602640284705,189.0550728609536,6042091.7538320925,7283934.531884257
Chiang Mai,Omkoi,282454.78110662755,199241.1596217592,217545.414030905,180.42493898084624,182.7423423510844,2.6227076214870743E7,3.0496405180566084E7,308.6905151542325,312.8066639921889,4.487211612416943E7,5.220179095879962E7
Chiang Mai,Saraphi,10748.438058686788,2642.131680086584,2502.3650153604053,60.73779409993158,60.4797882718824,89276.60750499854,82339.67755699418,104.67241669987499,100.66477973427826,153854.75223119673,137049.18192183334
Chiang Mai,Wiang Haeng,79303.42974540158,63086.25525303351,65792.52707456805,194.10434180676225,201.09598355538782,1.0033616270499311E7,1.1515292134586891E7,333.0688449101235,346.5777902341964,1.7216951345553394E7,1.9845968498580582E7
Chiang Mai,Chai Prakan,49952.48230367462,27976.63773987526,31084.15290649187,173.8774252969177,172.37215316272307,3468230.4134623483,3920008.7346107047,295.7303757707654,292.72149349371426,5898759.340983218,6656938.569315754
Chiang Mai,Mae Wang,62111.70460804434,45953.245562134805,52012.94257336417,171.54575171608803,180.06609630825352,6167473.54022626,7583678.120975918,294.16660313637135,307.0650627756229,1.0575980668378696E7,1.293237337162976E7
Chiang Mai,Mae On,47106.17319276838,39045.02122365054,40839.20713037359,171.58753706279322,169.185711037147,4949833.658649037,5275411.594038314,291.59583737319156,284.49358018763246,8411746.324702851,8870847.54661148
Chiang Mai,Doi Lo,22184.03297597245,11140.99152326645,15599.156762565299,85.64377591502911,109.62683268800839,696010.7426462081,1270258.2991828073,145.65285231891863,184.83824601511623,1183693.1274627037,2141741.4688044973
Chiang Mai,Kanlayaniwatthana,52336.43429672137,46324.875975342424,46887.508390542665,189.51239934392498,198.39949637911445,7588849.467429456,8226630.034779757,325.22879868214926,342.3560966518182,1.3023487553345945E7,1.4195786009118756E7
