PV_EN,AP_EN,forest_type,forest_2019_ha,forest_2023_ha,mean_agb_2019_Mg_ha,mean_agb_2023_Mg_ha,total_agb_2019_Mg,total_agb_2023_Mg,mean_co2_2019_Mg_ha,mean_co2_2023_Mg_ha,total_co2_2019_Mg,total_co2_2023_Mg
Chiang Mai,Mueang Chiang Mai,Deciduous,2107.9609274915692,2146.4975301240756,131.4587880988488,154.34503736653662,285413.9816274014,341651.2235090068,221.89401487182545,257.7749586106458,481760.5213253131,570599.0389415349
Chiang Mai,Chom Thong,Deciduous,32690.437679734445,38281.57545724255,103.1944538242004,123.13555070254841,3967847.6595380018,5180421.881276172,174.15398336530185,207.84234110797755,6696255.922520064,8744111.678842481
Chiang Mai,Mae Chaem,Deciduous,90712.96384327984,113060.20259192033,150.2216512965849,165.10391945236645,1.5965736263005497E7,2.018004311666703E7,253.52190470931689,276.57591008258987,2.694461021321102E7,3.380484932656289E7
Chiang Mai,Chiang Dao,Deciduous,87739.20351831143,93685.95070915598,152.24673134662396,159.3171856651298,1.4716875263556665E7,1.586129925411312E7,256.89156494936435,267.29792641571885,2.48323302822004E7,2.661164576314504E7
Chiang Mai,Doi Saket,Deciduous,29761.585683507208,29844.461166450343,149.79633524318388,151.39060871588717,4661576.337437087,4721421.129979003,252.76273293242366,252.92185253356834,7865831.754581701,7887877.706483167
Chiang Mai,Mae Taeng,Deciduous,59547.97837460597,62371.07357833648,163.49313988353825,165.97095235322809,1.0423041605631718E7,1.0745945417894967E7,275.9067838074994,276.33744962941563,1.7589654726147793E7,1.7891728000928406E7
Chiang Mai,Mae Rim,Deciduous,11842.47002304373,12490.979412521003,154.16875602054108,156.55112096409678,1995964.1161628733,2070703.7392565,260.21522713399133,261.30578407106236,3368907.3523345916,3456295.093286823
Chiang Mai,Samoeng,Deciduous,48687.53669887739,50564.10262891702,165.66298749516181,171.6373307789476,8512964.5070505,8909906.024020087,279.55407666290415,286.78231672405866,1.4365513780245971E7,1.4887224445094816E7
Chiang Mai,Fang,Deciduous,14448.325936657773,14702.504686855384,162.4983997575898,170.3395299446794,2535115.1129818675,2648455.417848011,274.34908985621115,285.963029870202,4280082.311913631,4446180.756565426
Chiang Mai,Mae Ai,Deciduous,26712.430318739956,27933.68972930756,186.6017230922011,188.19118271035904,5405371.102862014,5511827.378284622,314.96190589230304,315.6798741770838,9123634.877655396,9245773.901226845
Chiang Mai,Phrao,Deciduous,64912.46264164786,65523.38937974264,167.62603662395176,168.1844175028805,1.1306778368219307E7,1.1366070551862752E7,282.84999570117685,280.51660156371304,1.907891085203171E7,1.8957591569387056E7
Chiang Mai,San Pa Tong,Deciduous,1330.3293524586434,1591.296813542817,69.85995475604513,114.87015019497082,103457.7611421426,192300.4637736505,117.87787243784474,193.19347481063886,174568.97603061478,323419.04962489556
Chiang Mai,San Kamphaeng,Deciduous,7198.140276224383,6892.959009103124,131.46466552989602,127.7387008245605,1025639.4567564811,978242.6705931326,221.76613563768862,216.55407245665987,1730138.6500170333,1658404.479538007
Chiang Mai,San Sai,Deciduous,12478.611181916496,11994.757865458178,127.23140506687795,131.64315744489818,1640333.1933193963,1681986.3448447206,214.63491074670088,223.26427052480622,2767184.4727470144,2852616.5848441636
Chiang Mai,Hang Dong,Deciduous,10020.742204736956,10890.54131067637,144.8032404327654,158.65696776596621,1591529.0015278608,1803771.1083589126,244.3521145818911,264.5309402490091,2685668.3321173107,3007452.324912117
Chiang Mai,Hot,Deciduous,56438.30772899825,66491.42961232013,104.24972304675575,114.11989666649887,7110582.116900218,8854427.564119587,175.93441627947726,192.57521652908696,1.1999994582528275E7,1.4941685537317334E7
Chiang Mai,Doi Tao,Deciduous,33166.86844980814,36844.44821366657,95.93255286045915,107.88332524110767,3741433.468957044,4574121.634401935,161.89461197325414,182.6705035308007,6313997.724310588,7745007.618211127
Chiang Mai,Omkoi,Deciduous,84329.50097808261,95001.31046210839,141.22777825806293,144.24580193985253,1.4221132789769456E7,1.5615265492666427E7,238.40680222355525,243.12573316363546,2.4006712836542193E7,2.631946999482637E7
Chiang Mai,Saraphi,Deciduous,0.0,0.0,,,0.0,0.0,,,0.0,0.0
Chiang Mai,Wiang Haeng,Deciduous,14268.192338269066,14650.087342019448,166.41756985613046,182.09629881925883,2480973.8371186256,2726935.9081726708,280.94969786472024,304.6492254012618,4188433.054040508,4562195.370527974
Chiang Mai,Chai Prakan,Deciduous,17302.835127718812,18248.549242976886,161.7240199412499,163.793563152885,3094870.9203599477,3223993.542938118,272.9429141890683,275.99788903948536,5223238.251574687,5432542.156264938
Chiang Mai,Mae Wang,Deciduous,15395.964945076705,18165.901158102584,124.15202773413529,156.47762404969984,2180573.961147466,2950510.5230355,209.5289969594874,260.36747074677345,3680112.8538929755,4909436.434872944
Chiang Mai,Mae On,Deciduous,26046.929128483593,26877.681065837223,163.9052793849729,159.91693656581455,4552042.450552132,4497675.326335593,276.5856394559122,266.45465614219887,7681446.108674772,7494056.410209204
Chiang Mai,Doi Lo,Deciduous,6537.943748813582,8374.971069029622,87.94769198296262,127.16649772084817,670436.111187219,1105261.6092167308,148.3836099346038,212.5565997853271,1131146.572993367,1847425.7309058362
Chiang Mai,Kanlayaniwatthana,Deciduous,8909.42855811997,8833.491263304175,183.61843180895042,194.1592453283619,1683184.3754574328,1768379.8337969487,309.9688134919231,326.88869516622776,2841406.8100172263,2977264.0980487852
Chiang Mai,Mueang Chiang Mai,Evergreen,3978.453943810882,3967.193978753824,211.74238395134333,211.50608415844567,855496.7783407461,854415.0649729226,364.85785640680336,365.444121151159,1474124.900454252,1476274.1358444435
Chiang Mai,Chom Thong,Evergreen,29122.441671612476,29632.161181529336,214.25841608554845,215.36794428527782,6633601.464169463,6701600.750912113,369.19475165330437,371.79130311313315,1.1430546749270264E7,1.156902319916313E7
Chiang Mai,Mae Chaem,Evergreen,80177.35222545754,81022.44381133495,214.6663295241614,220.83381778365643,1.7974152113073245E7,1.8527774071188226E7,369.88637462793315,383.23464585840173,3.097082802997168E7,3.215307133374139E7
Chiang Mai,Chiang Dao,Evergreen,46290.3585615962,47497.06854651575,202.97190057865114,202.82569370503595,1.037694611756653E7,1.044768575039707E7,349.727758771466,350.2708485118562,1.7879844918177705E7,1.8042682358208977E7
Chiang Mai,Doi Saket,Evergreen,14011.737666793242,14802.743010813976,218.78461732775827,215.35700977404852,3313398.888531499,3350576.405501459,376.9589302231338,370.16282584583143,5708880.790126172,5759082.38225858
Chiang Mai,Mae Taeng,Evergreen,37116.11986745587,39969.41845601093,213.58326209451587,212.81786162163007,8625136.648438303,8864334.583603965,368.0038847877507,366.16999565602066,1.4861107366707081E7,1.5251788835422829E7
Chiang Mai,Mae Rim,Evergreen,9688.459375887644,10346.461373526652,208.02661321557943,210.13186985260154,2230818.330852773,2344515.52430876,358.43546613576495,359.87503413025223,3843760.1599610224,4015252.871080954
Chiang Mai,Samoeng,Evergreen,32949.69457284048,34094.94578689187,203.13743315547106,204.97183895563828,7122974.524385965,7259665.284470001,350.0154473765616,352.2697972911142,1.2273223471607558E7,1.2476643654744595E7
Chiang Mai,Fang,Evergreen,19809.623834614584,19387.906358894612,212.7924215783443,216.48223320485445,4587820.836555453,4543101.647374697,366.6891180691146,374.7791677715981,7905845.349778831,7865125.141879331
Chiang Mai,Mae Ai,Evergreen,6915.767859958305,7063.71173735797,223.637554431841,225.5932728317444,1592672.6851768496,1616442.430951838,385.2742823617076,391.4134632456106,2743796.00445196,2804593.1137698404
Chiang Mai,Phrao,Evergreen,26633.242327238673,27094.45762960038,214.67324138381835,212.2036559231927,5957475.004590848,5921369.543666769,369.8501040724516,364.9304809958105,1.0263844409511127E7,1.01830863424652E7
Chiang Mai,San Pa Tong,Evergreen,0.0,0.0,,,0.0,0.0,,,0.0,0.0
Chiang Mai,San Kamphaeng,Evergreen,0.0,0.0,,,0.0,0.0,,,0.0,0.0
Chiang Mai,San Sai,Evergreen,0.0,0.0,,,0.0,0.0,,,0.0,0.0
Chiang Mai,Hang Dong,Evergreen,884.0275806123617,944.2714946721804,200.45432282356185,198.01560360913007,194261.6604883479,196148.51001076263,345.2717216914806,340.528464088205,334605.19605367776,337317.61382554536
Chiang Mai,Hot,Evergreen,24722.55510347879,25949.537987171745,173.65365060899197,177.76338731848386,4743743.384063599,4946530.328493727,299.1834713495055,306.5356712738681,8172875.1445409395,8529810.728964781
Chiang Mai,Doi Tao,Evergreen,7092.316657972592,7625.08366499427,171.31355151255036,169.31860090819467,1363476.3452226534,1390981.273945712,295.06318234009046,293.4412081768133,2348393.7206313815,2410669.710928658
Chiang Mai,Omkoi,Evergreen,71993.91149719035,74227.21509228575,207.2808478783847,210.07237933244454,1.6059843475331778E7,1.6471216932261737E7,357.14569766875314,363.20169542997047,2.767117206487456E7,2.847767757775326E7
Chiang Mai,Saraphi,Evergreen,0.0,0.0,,,0.0,0.0,,,0.0,0.0
Chiang Mai,Wiang Haeng,Evergreen,44984.05735276705,45906.006266802375,199.61706062485592,206.83387377125774,9454053.549515083,9849270.801464938,343.9737042157402,359.61048965238876,1.6290921276874071E7,1.7124376467042428E7
Chiang Mai,Chai Prakan,Evergreen,7009.590918101697,6500.689801917562,200.67534446907695,200.44761224925384,1520507.4639163765,1450152.5744767915,345.78293549333597,347.22713704469976,2619980.7252499647,2512039.4986469327
Chiang Mai,Mae Wang,Evergreen,24451.226527947165,24835.708077344338,204.731714452593,206.36828375827488,5197754.962948599,5266924.24626148,352.79678342765266,355.73710907086263,8956849.866382634,9079109.530982608
Chiang Mai,Mae On,Evergreen,9152.277783539326,9935.53993395637,209.973294566964,207.73325882244666,2103758.246513943,2158273.8429037966,361.72428541509373,355.31168000076957,3624177.2981186532,3691560.44811975
