band,importance,importance_pct
elevation,1410.5824897579805,8.667675924204902
slope,1319.2032162104802,8.106173186825185
VH,1219.308162703723,7.492343115549992
VV,1213.1856393140358,7.454721743552614
B2,1212.6697292622644,7.451551605565461
B3,1165.7138566555145,7.163019534985605
B8,1064.2119133113335,6.539315528327111
B4,1053.5145005938373,6.473582607823728
EVI,1033.3172251758501,6.34947541157953
DVI,1018.4775594153067,6.258289384126446
SAVI,985.7696449853748,6.057307446172633
TVI,914.8343202219944,5.62142765105856
NDVI,905.1743962500449,5.562069838914101
IPVI,885.8560816321224,5.443363636529076
RVI,872.2379100621574,5.359683384785041
