band,importance,importance_pct
elevation,3.5152485279531527E9,10.938287241503701
B4,2.546674943820548E9,7.924407570257773
IPVI,2.3708698524620237E9,7.377360448978397
slope,2.3395540021767254E9,7.279915911868534
B2,2.256128979317143E9,7.020324916833406
TVI,2.217494983585759E9,6.900108738877145
RVI,2.0808597272550342E9,6.474945149680736
B3,2.068171635899741E9,6.4354640186349465
VH,2.0639798100525806E9,6.4224204472294
NDVI,2.0583801684175422E9,6.404996220132377
VV,2.0180025826624558E9,6.27935456845526
EVI,1.725914997429112E9,5.370474902749278
B8,1.6904862860407045E9,5.260232506320942
SAVI,1.661788401382849E9,5.1709342097382125
DVI,1.523547102441682E9,4.740773148739906
